activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.252,2020-02-26,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.255,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,prsn,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.238,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,rlut,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/rlut/gn/,2015-01-16,2100-12-16,1032,0.212,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,rlutcs,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/rlutcs/gn/,2015-01-16,2100-12-16,1032,0.2,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,rsdt,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/rsdt/gn/,2015-01-16,2100-12-16,1032,0.119,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/rsut/gn/,2015-01-16,2100-12-16,1032,0.218,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,rsutcs,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/rsutcs/gn/,2015-01-16,2100-12-16,1032,0.2,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.185,2020-02-09,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.249,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,va,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/va/gn/,2015-01-16,2100-12-16,1032,4.75,2020-02-11,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.255,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r4i1p1f1,Omon,zos,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r4i1p1f1/Omon/zos/gn/,2015-01-16,2100-12-16,1032,2.82,2020-03-05,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,clivi,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/clivi/gn/,2015-01-16,2100-12-16,1032,0.246,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,clwvi,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/clwvi/gn/,2015-01-16,2100-12-16,1032,0.248,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.252,2020-02-26,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.255,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,prsn,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.238,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,rlut,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/rlut/gn/,2015-01-16,2100-12-16,1032,0.212,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,rlutcs,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/rlutcs/gn/,2015-01-16,2100-12-16,1032,0.2,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,rsdt,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/rsdt/gn/,2015-01-16,2100-12-16,1032,0.119,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/rsut/gn/,2015-01-16,2100-12-16,1032,0.218,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,rsutcs,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/rsutcs/gn/,2015-01-16,2100-12-16,1032,0.2,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.185,2020-02-09,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,ua,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/ua/gn/,2015-01-16,2100-12-16,1032,4.4,2020-02-11,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.249,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.255,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r5i1p1f1,Omon,zos,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp370/r5i1p1f1/Omon/zos/gn/,2015-01-16,2100-12-16,1032,2.82,2020-03-06,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,clivi,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/clivi/gn/,2015-01-16,2100-12-16,1032,0.246,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/clwvi/gn/,2015-01-16,2100-12-16,1032,0.248,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.251,2020-02-26,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,huss,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/huss/gn/,2015-01-16,2100-12-16,1032,0.229,2020-02-28,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.255,2020-02-28,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,prsn,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.238,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,rlds,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/rlds/gn/,2015-01-16,2100-12-16,1032,0.218,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,rlus,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/rlus/gn/,2015-01-16,2100-12-16,1032,0.212,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,rlut,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/rlut/gn/,2015-01-16,2100-12-16,1032,0.212,2020-02-28,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/rlutcs/gn/,2015-01-16,2100-12-16,1032,0.2,2020-02-28,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/rsdt/gn/,2015-01-16,2100-12-16,1032,0.119,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/rsut/gn/,2015-01-16,2100-12-16,1032,0.218,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/rsutcs/gn/,2015-01-16,2100-12-16,1032,0.2,2020-02-29,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,tas,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/tas/gn/,2015-01-16,2100-12-16,1032,0.182,2020-03-03,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.185,2020-02-06,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,ua,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/ua/gn/,2015-01-16,2100-12-16,1032,4.4,2020-02-11,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.249,2020-02-28,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,va,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/va/gn/,2015-01-16,2100-12-16,1032,4.75,2020-02-11,created,
ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp585,r1i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/AWI/AWI-CM-1-1-MR/ssp585/r1i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.255,2020-02-29,created,
