activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DAMIP,MIROC,MIROC6,ssp245-aer,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-aer/r3i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000435,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-aer,r3i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-aer/r3i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.000509,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-aer,r3i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-aer/r3i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.0004,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-aer,r3i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-aer/r3i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000435,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r1i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r1i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.000509,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.0004,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r1i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r1i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r2i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000435,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r2i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r2i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.000509,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r2i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r2i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.0004,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r2i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r2i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r3i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000435,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r3i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r3i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.000509,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r3i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r3i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.0004,2019-11-11,created,
DAMIP,MIROC,MIROC6,ssp245-stratO3,r3i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/MIROC/MIROC6/ssp245-stratO3/r3i1p1f1/fx/areacella/gn/,NA,NA,NA,1.75e-05,2019-11-11,created,
